"","X2010","X2014","countryName"
"73527",0,0,"Afghanistan"
"75080",0,0,"Albania"
"76633",0,0,"Algeria"
"78186",0,0,"American Samoa"
"79739",0,0,"Andorra"
"81292",0,0,"Angola"
"82845",0,0,"Antigua and Barbuda"
"84398",61.659711319467,-1.27279220613578,"Argentina"
"85951",44.2648845022779,0.282842712474622,"Armenia"
"87504",0,0,"Aruba"
"89057",24.5366053071732,-24.5366053071732,"Australia"
"90610",42.9920922961421,0.141421356237309,"Austria"
"92163",0,0,"Azerbaijan"
"93716",0,0,"Bahamas, The"
"95269",0,0,"Bahrain"
"96822",22.6981276760882,-22.6981276760882,"Bangladesh"
"98375",0,0,"Barbados"
"99928",39.4565583902094,-0.989949493661165,"Belarus"
"101481",39.9515331370399,-0.212132034355957,"Belgium"
"103034",0,0,"Belize"
"104587",0,0,"Benin"
"106140",0,0,"Bermuda"
"107693",0,0,"Bhutan"
"109246",34.2239682094289,34.2239682094289,"Bolivia"
"110799",0,0,"Bosnia and Herzegovina"
"112352",0,0,"Botswana"
"113905",36.4159992311072,36.4159992311072,"Brazil"
"115458",0,0,"British Virgin Islands"
"117011",0,0,"Brunei Darussalam"
"118564",51.6895057047366,1.20208152801713,"Bulgaria"
"120117",24.9608693758851,24.9608693758851,"Burkina Faso"
"121670",0,0,"Burundi"
"123223",0,0,"Cabo Verde"
"124776",0,0,"Cambodia"
"126329",32.8804653251745,32.8804653251745,"Cameroon"
"127882",23.758787847868,-23.758787847868,"Canada"
"129435",0,0,"Cayman Islands"
"130988",0,0,"Central African Republic"
"132541",0,0,"Chad"
"134094",0,0,"Channel Islands"
"135647",0,0,"Chile"
"137200",0,0,"China"
"138753",77.0746391493337,-1.41421356237309,"Colombia"
"140306",0,0,"Comoros"
"141859",0,0,"Congo, Dem. Rep."
"143412",0,0,"Congo, Rep."
"144965",68.3065150626205,0.282842712474618,"Costa Rica"
"146518",0,0,"Cote d'Ivoire"
"148071",45.679098064651,-0.141421356237302,"Croatia"
"149624",0,0,"Cuba"
"151177",0,0,"Curacao"
"152730",47.4468650176173,2.89913780286485,"Cyprus"
"154283",37.1231060122937,-0.494974746830582,"Czech Republic"
